destination_ref,region_ref,company_name,address_line_one,address_line_two,city,state,zip,phone,reservation,fax,url,contact,season,email,details,mask2id_ref,customer_status_notes
16811,22, Paradise Mini Golf Specials, , , ,MA,1949,,,, , ,                , ,,g22201021102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4711,15,"Lakeview Hotel, Motel, & Cabins",58 Tower Street,,Weirs Beach,NH,3247,(603) 366-4621,(800) 953-8890,(603) 366-4129,stayatlakeview.com,Mike Young,Open May to October,,,g00011107404717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6030,25,Harding Allen Estate,Box 933,,Barre,MA,1005,(508) 355-4920,(508) 355-4920,(508) 355-4920,,,,,,g00030007606037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5065,26,Pleasure Horse Farm,43 Russell Road,,Blandford,MA,1008,(413) 848-2214,(413) 848-2214,,,,,,,g00065507505067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5066,26,Nye Brook Inn B&B,Nye Brook Road,,Blandford,MA,1008,(413) 848-2068,(413) 848-2068,,,,,,,g00066607505067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6038,25,Westover Metropolitan Airport,255 Padgette Street,,Chicopee,MA,1020,(413) 593-5543,(413) 593-5543,,,,,,,g00038807606037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5074,26,Whale Inn,2 Main Street,,Goshen,MA,1032,(413) 268-7246,(413) 268-7246,,,,,,,g00074407505077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,26,Carmel Wood,8 Montgomery Road,,Huntington,MA,1050,(413) 667-5786,(413) 667-5786,,,,,,,g00084407505087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065,25,La Fleur Airport,Old Ferry Road,,Northampton,MA,1060,(413) 584-7980,(413) 584-7980,,,,,,,g00065507606067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,26,Tamarack Farm B&B,324 Old Warren Road,,Palmer,MA,1069,(413) 283-8664,(413) 283-8664,,,,,,,g00010007505117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,26,Holiday Inn Downtown-Springfield,711 Dwight Street,,Springfield,MA,1140,(413) 781-0900,(413) 781-0900,(413) 785-1410,,,,,,g00060007303067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,26,Huntsman Motel,1350 West Housatonic Street,Rte 20W,Pittsfield,MA,1201,(413) 442-8714,(413) 442-8714,,,,,,,g00005507202807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,26,Travelodge-Pittsfield,16 Cheshire Road,Route 8 North,Pittsfield,MA,1201,(413) 443-5661,(413) 443-5661,,,,,,,g00061107202967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,26,Bershire  Hilton,Bershire Common,,Pittsfield,MA,1201,(413) 499-2000,(413) 499-2000,,,,,,,g00064407202967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,26,Colonial Motor Lodge,509 Lebanon Avenue,Jct. of 20 & 41,Pittsfield,MA,1201,(413) 442-2633,(413) 442-2633,,,,,,,g00082207202987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,26,Heart of the Bershires Motel,970 W. Housatonic Street,,Pittsfield,MA,1201,(413) 443-1255,(413) 443-1255,,,,,,,g00087707202987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5026,26,Hawkins House B&B,142 Pomeroy Avenue,,Pittsfield,MA,1201,(413) 445-4233,(413) 445-4233,,,,,,,g00026607505027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5031,26,Pittsfield City Motel,150 W. Housatonic Street,,Pittsfield,MA,1201,(413) 443-3000,(413) 443-3000,,,,,,,g00031107505037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
